,ALGEBRA E GEOMETRIA,ARCHITETTURA DEGLI ELABORATORI,PROGRAMMAZIONE,ANALISI MATEMATICA,LABORATORIO I,PROGRAMMAZIONE CONCORRENTE E DISTRIBUITA,SISTEMI OPERATIVI,BASI DI DATI,FONDAMENTI DI SICUREZZA,STORIA DEGLI AUTOMI E DELL'INFORMATICA,INGLESE,ALGORITMI E STRUTTURE DATI,PROGETTAZIONE DEL SOFTWARE,"INFORMAZIONE, TRASMISSIONE E CODICI A PROTEZIONE D'ERRORE",LABORATORIO II,RETI DI TELECOMUNICAZIONE,INFORMATICA TEORICA,APPLICAZIONI WEB,PROVA FINALE,FONDAMENTI DEI LINGUAGGI DI PROGRAMMAZIONE,SISTEMI INFORMATIVI,TIROCINIO FORMATIVO,PROGRAMMAZIONE DI DISPOSITIVI MOBILI,GRAFICA COMPUTAZIONALE,ELABORAZIONE DELLE IMMAGINI,LOGICA MATEMATICA,MICROCONTROLLORI,ORGANIZZAZIONE AZIENDALE,MARKETING,MODELLI INNOVATIVI PER LA GESTIONE DEI DATI,Logica,GESTIONE PROGETTI SOFTWARE,AUTOMI E LINGUAGGI,TEST DI VERIFICA DELLE CONOSCENZE,ANALISI E RICONOSCIMENTO NELLE RETI SOCIALI,IBM BLUEMIX,LABORATORIO INTERDISCIPLINARE A,LABORATORIO INTERDISCIPLINARE,PROGRAMMAZIONE PROCEDURALE E AD OGGETTI,PROGRAMMAZIONE FUNZIONALE,LABORATORIO INTERDISCIPLINARE A E B,LABORATORIO INTERDISCIPLINARE B
727173,13,13,14,18,-1,31,25,25,43,31,10,18,25,37,-1,42,-1,-1,-1,-1,-1,51,50,-1,38,-1,25,-1,-1,-1,31,-1,38,10,-1,-1,25,-1,-1,43,31,31
726919,13,14,13,19,-1,38,25,25,43,42,27,21,25,50,-1,49,-1,-1,-1,-1,-1,51,42,-1,38,-1,38,-1,-1,-1,30,37,49,12,-1,-1,30,-1,45,-1,45,45
718984,14,16,13,19,21,30,26,26,-1,43,18,18,28,31,33,38,38,43,45,42,38,45,-1,-1,29,31,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
726922,13,13,19,43,-1,42,25,30,42,43,30,19,25,45,-1,49,-1,-1,-1,-1,-1,51,42,-1,42,-1,38,-1,-1,-1,31,37,49,12,-1,-1,30,-1,45,-1,45,45
718989,14,13,14,19,23,43,25,28,-1,-1,18,18,41,31,45,38,40,49,50,45,-1,50,-1,43,25,43,-1,-1,-1,33,-1,-1,-1,-1,49,43,-1,-1,-1,-1,-1,-1
723601,14,14,14,19,-1,30,25,24,42,43,19,19,33,42,-1,37,-1,-1,51,-1,45,51,37,-1,38,-1,37,-1,-1,-1,31,-1,38,-1,49,-1,50,50,-1,-1,-1,-1
718994,16,23,16,55,45,43,25,28,31,57,21,43,45,61,49,50,67,49,69,-1,-1,63,-1,-1,57,-1,55,-1,-1,-1,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
725879,14,14,11,19,-1,33,26,30,43,43,31,19,30,48,-1,42,-1,-1,51,43,-1,51,33,-1,42,-1,25,-1,-1,-1,30,-1,43,-1,-1,-1,37,37,50,-1,-1,-1
723605,14,14,14,19,-1,30,25,24,42,-1,19,19,25,30,-1,38,-1,-1,43,42,-1,42,-1,37,25,-1,-1,-1,-1,30,30,-1,37,-1,-1,-1,31,31,42,-1,-1,-1
724118,14,14,14,21,-1,30,25,25,42,-1,19,19,26,31,-1,37,-1,-1,45,42,-1,45,33,-1,-1,-1,37,-1,-1,-1,31,25,38,-1,-1,-1,43,43,43,-1,-1,-1
723609,14,14,14,21,-1,30,25,24,42,42,19,19,30,30,-1,37,-1,-1,50,43,37,50,38,-1,25,-1,-1,-1,-1,-1,31,-1,37,-1,-1,-1,42,42,42,-1,-1,-1
724396,14,17,14,59,-1,61,25,26,42,33,19,21,49,48,-1,49,-1,-1,-1,42,37,62,31,-1,-1,-1,-1,-1,45,-1,31,-1,38,-1,-1,-1,37,37,43,-1,-1,-1
724380,14,30,19,55,-1,54,50,25,49,43,19,43,55,48,-1,42,-1,-1,-1,-1,57,63,31,-1,43,-1,-1,-1,-1,57,31,-1,37,-1,57,-1,62,62,-1,-1,-1,-1
718751,14,16,18,64,23,38,26,61,33,43,18,61,28,73,66,43,40,57,75,55,38,74,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62,-1,-1,-1,-1,-1,-1,-1
723616,14,14,17,57,-1,30,37,25,42,26,19,21,26,49,-1,37,-1,-1,60,-1,-1,55,42,-1,-1,-1,37,-1,42,31,30,-1,37,-1,-1,-1,37,37,-1,-1,-1,-1
719216,16,16,18,21,29,40,26,28,30,43,18,23,43,67,45,54,47,45,69,-1,-1,66,-1,-1,41,43,38,-1,-1,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
725410,14,14,14,31,-1,30,25,24,43,-1,13,19,31,48,-1,37,-1,-1,50,42,37,50,33,-1,38,-1,25,-1,-1,-1,31,-1,42,-1,-1,-1,37,37,42,-1,-1,-1
720038,14,16,18,35,23,30,25,28,-1,43,21,23,28,50,45,38,38,43,51,-1,-1,48,-1,-1,38,33,38,43,-1,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
726695,13,14,13,18,-1,30,33,42,43,27,18,18,31,42,-1,27,-1,-1,48,-1,-1,48,27,27,-1,-1,-1,-1,43,-1,27,27,37,9,-1,-1,21,-1,43,-1,37,37
721577,14,14,13,19,-1,31,26,26,42,38,19,19,31,31,-1,42,-1,42,48,-1,-1,48,45,33,37,-1,29,-1,-1,-1,31,-1,38,-1,-1,-1,37,37,-1,-1,-1,-1
723370,14,14,14,19,-1,30,25,24,42,-1,15,19,26,30,-1,37,-1,-1,43,42,-1,42,30,37,-1,-1,-1,-1,-1,30,30,-1,37,-1,-1,-1,31,31,42,-1,-1,-1
723371,14,14,14,19,-1,30,26,24,42,43,21,19,33,38,-1,37,-1,-1,51,42,-1,51,37,-1,-1,-1,37,-1,-1,-1,30,30,37,-1,-1,-1,42,42,43,-1,-1,-1
723372,14,17,14,21,-1,30,26,24,42,42,19,33,37,48,-1,38,-1,-1,51,-1,37,51,37,-1,37,-1,-1,-1,-1,-1,30,25,38,-1,-1,-1,42,42,42,-1,-1,-1
721070,14,14,13,61,-1,31,26,28,43,33,19,19,26,60,-1,38,-1,42,63,-1,-1,63,43,-1,-1,-1,26,-1,42,-1,31,37,38,-1,-1,-1,37,37,-1,-1,-1,-1
719964,14,23,16,45,41,35,26,31,35,43,18,23,28,47,41,38,40,47,48,-1,38,48,-1,-1,41,43,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
724145,14,19,14,19,-1,30,25,24,43,42,19,42,37,48,-1,37,-1,-1,50,-1,37,50,-1,-1,26,-1,38,-1,43,37,33,-1,45,-1,-1,-1,37,37,-1,-1,-1,-1
720821,14,14,13,19,-1,31,26,26,42,38,19,19,29,50,-1,49,-1,43,55,-1,-1,54,42,53,-1,-1,26,-1,-1,-1,45,37,37,-1,-1,-1,37,37,-1,-1,-1,-1
720822,14,14,13,19,-1,31,26,26,42,-1,17,19,29,33,-1,38,-1,42,51,-1,-1,51,42,42,29,-1,-1,-1,-1,42,31,38,37,-1,-1,-1,42,42,-1,-1,-1,-1
725687,14,19,19,49,-1,30,50,30,55,43,15,45,31,50,-1,61,-1,-1,62,-1,57,62,33,-1,43,-1,50,-1,-1,-1,31,-1,38,-1,50,-1,37,37,-1,-1,-1,-1
722104,14,17,14,23,-1,31,26,26,42,33,21,19,38,33,-1,37,-1,43,50,-1,-1,50,43,-1,37,-1,43,-1,-1,45,31,-1,37,-1,-1,-1,42,42,-1,-1,-1,-1
718777,14,16,13,26,21,30,31,30,35,43,19,18,28,31,33,38,42,43,48,-1,38,45,-1,-1,43,33,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
718778,14,16,14,52,26,30,25,30,30,43,18,23,28,62,36,38,42,43,63,-1,-1,48,-1,-1,54,49,38,-1,-1,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
723899,14,14,14,19,-1,30,30,24,45,-1,19,42,37,48,-1,42,-1,-1,57,45,50,55,49,-1,42,-1,-1,-1,-1,-1,30,25,38,-1,-1,-1,42,42,49,-1,-1,-1
723914,14,19,14,49,-1,30,25,24,42,42,19,54,37,48,-1,37,-1,-1,60,-1,37,60,-1,-1,54,-1,49,-1,54,38,31,-1,50,-1,-1,-1,37,37,-1,-1,-1,-1
719038,16,16,14,23,26,30,26,28,30,-1,15,18,54,31,50,45,40,45,-1,86,-1,86,-1,43,38,-1,35,-1,-1,-1,-1,-1,-1,-1,74,-1,-1,-1,-1,-1,-1,-1
719274,14,23,14,47,35,35,28,28,30,43,1,23,38,50,41,38,40,45,51,-1,38,51,-1,45,-1,43,-1,-1,-1,-1,-1,-1,-1,-1,50,43,-1,-1,-1,-1,-1,-1
724672,14,19,14,19,-1,49,25,24,43,42,19,31,37,45,-1,37,-1,-1,57,-1,37,57,38,-1,42,-1,-1,-1,43,-1,30,26,38,-1,-1,-1,55,55,-1,-1,-1,-1
725676,14,14,14,45,-1,30,25,25,42,26,19,19,26,38,-1,38,-1,-1,50,-1,37,50,37,-1,37,-1,43,-1,-1,-1,38,-1,37,-1,43,19,42,42,-1,-1,-1,-1
720945,14,14,13,19,-1,31,26,26,42,38,19,19,29,31,-1,37,-1,43,51,-1,-1,51,42,-1,26,-1,-1,-1,-1,-1,33,37,38,-1,50,-1,42,42,-1,-1,-1,-1
726689,13,14,13,31,-1,33,25,26,42,42,18,18,25,38,-1,38,-1,-1,48,-1,45,48,30,-1,42,-1,37,-1,-1,-1,30,37,43,9,-1,-1,18,-1,-1,-1,37,37
725960,14,19,14,26,-1,30,57,33,55,43,25,55,45,50,-1,61,-1,-1,-1,-1,-1,63,37,-1,43,-1,49,-1,-1,-1,54,-1,61,-1,50,-1,37,37,62,-1,-1,-1
728009,13,19,14,18,-1,45,26,25,42,42,18,18,37,37,-1,37,-1,-1,50,-1,-1,50,-1,30,31,-1,-1,42,-1,43,30,-1,38,10,-1,-1,37,-1,-1,-1,49,49
718538,14,13,13,35,23,30,25,33,35,43,15,28,28,45,33,38,40,43,48,-1,-1,48,-1,-1,38,43,26,37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
725367,14,14,14,42,-1,31,26,25,43,42,21,54,37,30,-1,37,-1,-1,57,-1,37,57,38,-1,43,-1,26,-1,-1,-1,31,-1,37,-1,-1,-1,45,45,43,-1,-1,-1
726690,13,13,19,18,-1,37,25,25,42,43,26,18,25,31,-1,42,-1,-1,-1,-1,-1,51,-1,-1,26,-1,-1,49,43,43,33,37,42,10,-1,-1,38,-1,-1,-1,38,38
719822,14,16,19,45,26,30,25,33,35,45,18,19,28,54,45,40,42,49,57,55,38,55,-1,-1,-1,43,-1,-1,-1,35,-1,-1,-1,-1,-1,43,-1,-1,-1,-1,-1,-1
725199,14,14,17,59,-1,30,30,38,45,42,19,31,30,48,-1,37,-1,-1,-1,-1,42,63,33,-1,-1,-1,-1,-1,50,-1,45,25,57,-1,43,-1,33,33,-1,-1,-1,-1
719569,16,23,16,43,38,30,28,30,41,49,19,31,28,61,54,41,49,54,63,-1,-1,63,-1,-1,47,35,38,-1,45,-1,-1,-1,-1,-1,-1,43,-1,-1,-1,-1,-1,-1
719316,14,16,14,45,29,30,26,62,45,43,19,25,30,61,41,38,62,54,63,-1,-1,63,49,50,49,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
719061,14,16,18,33,23,35,25,33,30,43,18,25,28,47,41,38,43,45,48,-1,38,48,-1,-1,41,43,29,-1,-1,-1,-1,-1,-1,-1,-1,43,-1,-1,-1,-1,-1,-1
728535,19,13,14,18,-1,31,26,25,43,42,37,18,26,45,-1,37,-1,-1,50,31,-1,50,43,-1,-1,-1,37,-1,-1,43,31,37,37,12,-1,-1,45,-1,-1,-1,45,43
722648,25,25,21,57,-1,42,37,37,54,-1,19,42,37,43,-1,50,-1,-1,60,-1,-1,60,43,42,49,-1,-1,-1,-1,-1,43,49,54,-1,-1,-1,54,54,54,57,-1,-1
723929,14,14,14,19,-1,30,26,49,54,42,19,45,37,49,-1,38,-1,-1,57,-1,37,57,55,-1,50,-1,-1,-1,55,-1,29,43,42,-1,-1,-1,42,42,-1,-1,-1,-1
721882,14,17,14,50,-1,33,26,33,42,37,23,19,29,45,-1,38,-1,42,51,47,-1,51,43,-1,-1,-1,45,-1,-1,-1,31,37,37,-1,-1,-1,42,42,-1,-1,-1,-1
726747,13,14,13,19,-1,30,25,25,42,30,18,18,37,33,-1,45,-1,-1,50,-1,-1,50,-1,-1,37,-1,-1,-1,-1,45,31,37,43,10,-1,-1,21,-1,31,45,42,42
720933,14,17,13,49,-1,31,26,28,42,38,19,19,31,54,-1,38,-1,43,55,47,-1,54,45,-1,-1,-1,26,-1,-1,-1,31,38,42,-1,-1,-1,42,42,-1,-1,-1,-1
723680,14,14,17,26,-1,30,26,25,42,42,19,19,33,38,-1,37,-1,-1,45,42,37,45,33,-1,30,-1,37,-1,-1,-1,30,-1,38,-1,-1,-1,37,37,-1,-1,-1,-1
725729,26,17,19,62,-1,37,33,31,49,33,19,61,37,48,-1,54,-1,-1,-1,57,38,63,-1,-1,-1,-1,-1,42,42,54,30,-1,54,-1,-1,-1,42,42,-1,-1,-1,-1
718821,14,16,14,23,50,62,28,28,35,50,19,19,61,45,66,43,40,66,75,67,-1,74,-1,59,-1,31,-1,-1,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
721361,19,17,18,49,-1,33,26,28,42,38,19,19,33,60,-1,42,-1,45,62,54,-1,54,-1,-1,-1,-1,26,-1,42,-1,31,37,43,-1,-1,-1,42,42,-1,-1,-1,-1
724373,14,14,14,21,-1,30,25,24,42,-1,19,19,37,30,-1,37,-1,-1,48,-1,37,48,-1,-1,38,-1,37,-1,-1,37,31,25,38,-1,45,-1,37,37,-1,-1,-1,-1
718569,14,16,13,18,23,30,25,26,31,43,18,21,28,38,38,38,40,43,45,-1,41,45,30,-1,43,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
725703,14,19,14,59,-1,61,30,24,49,49,19,19,33,54,-1,50,-1,-1,-1,55,37,63,38,-1,45,-1,61,-1,-1,-1,31,-1,38,-1,-1,-1,62,62,-1,-1,-1,-1
726525,13,14,13,31,-1,33,26,25,42,31,18,18,25,38,-1,38,-1,-1,48,-1,-1,48,42,-1,42,-1,26,-1,-1,42,30,37,43,9,-1,-1,18,-1,-1,-1,37,37
722928,14,18,16,55,-1,33,28,26,43,38,19,21,29,60,-1,49,-1,45,62,47,-1,62,42,-1,-1,-1,29,-1,-1,-1,31,37,37,-1,-1,-1,37,37,-1,-1,-1,-1
719090,16,23,19,43,54,31,28,31,41,45,18,61,55,67,61,45,50,61,74,-1,-1,74,-1,-1,66,35,38,-1,61,-1,-1,-1,-1,-1,-1,43,-1,-1,-1,-1,-1,-1
720884,14,17,14,38,-1,42,26,26,43,33,19,19,29,43,-1,37,-1,45,50,-1,29,50,-1,-1,-1,-1,-1,-1,45,-1,33,37,38,-1,-1,-1,42,42,-1,-1,-1,-1
719861,14,14,14,64,23,49,26,26,30,43,18,47,28,72,69,57,59,54,74,-1,38,74,42,-1,-1,-1,-1,-1,-1,-1,-1,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
727698,13,13,13,18,-1,30,25,25,42,-1,18,18,25,30,-1,37,-1,-1,43,-1,-1,43,31,25,37,-1,37,-1,-1,-1,31,37,37,10,-1,-1,19,-1,-1,42,31,31
721321,14,21,17,74,-1,54,38,28,-1,50,19,37,50,73,-1,50,-1,73,-1,54,73,75,61,-1,-1,-1,61,-1,-1,-1,38,61,57,-1,-1,-1,54,54,-1,-1,-1,-1
724948,14,14,14,47,-1,30,26,24,42,26,19,19,26,48,-1,37,-1,-1,50,43,-1,50,33,-1,42,-1,37,-1,-1,-1,31,-1,38,-1,-1,-1,37,37,43,-1,-1,-1
723962,14,14,14,43,-1,30,25,26,42,43,19,21,33,33,-1,37,-1,-1,50,-1,-1,50,33,-1,37,-1,37,-1,-1,-1,30,25,38,-1,-1,-1,42,42,42,-1,-1,-1
722172,14,17,14,19,-1,42,26,28,43,37,15,19,31,42,-1,37,-1,45,50,-1,-1,50,42,-1,38,-1,26,-1,-1,-1,31,-1,38,-1,45,-1,42,42,-1,-1,-1,-1
724477,-5,17,14,-18,-1,30,26,25,42,45,19,21,37,2,-1,38,-1,-1,50,45,-1,50,-1,-1,-1,-1,-1,-1,-1,33,7,25,22,-1,-1,-1,42,42,-1,-1,-1,-1
720853,14,14,13,50,-1,33,26,28,42,-1,19,19,29,54,-1,38,-1,42,55,47,-1,55,42,-1,-1,-1,29,-1,-1,45,31,37,37,-1,-1,-1,42,42,-1,-1,-1,-1
